domain,wilson,wilson_cat
valdostadailytimes.com,,
aol.com/news,,
wwmt.com,0.3335,Right
styleweekly.com,-0.4746,Left
airforcetimes.com,-0.108,Center
navytimes.com,0.3479,Right
lemarssentinel.com,,
mvprogress.com,,
koat.com,0.0144,Center
washingtoncitypaper.com,-0.6925,Left
dailyastorian.com,-0.2133,Left
columbiatribune.com,-0.0648,Center
dailybreeze.com,-0.0628,Center
eastbaytimes.com,0.0924,Right
delmarvanow.com,0.1305,Right
chronline.com,,
chippewa.com,,
chipleypaper.com,,
eltiempo.com,-0.2275,Left
ksnt.com,0.4061,Right
kwwl.com,0.3384,Right
wwlp.com,-0.1546,Center
hcn.org,-0.592,Left
elnuevoherald.com,0.0487,Center
nonpareilonline.com,0.5956,Right
tribstar.com,,
conservativeminute.com,,
kristv.com,,
ksby.com,,
kvue.com,0.1063,Right
clevescene.com,-0.3864,Left
fark.com,-0.2713,Left
postcrescent.com,-0.013,Center
ocala.com,0.248,Right
bhcourier.com,,
dnronline.com,,
wiscnews.com,,
djournal.com,,
wcti12.com,0.3352,Right
ocweekly.com,-0.4071,Left
montrealgazette.com,-0.222,Left
salemnews.com,-0.2097,Left
rappler.com,-0.2073,Left
chicagobusiness.com,-0.1564,Center
theolympian.com,-0.1516,Center
browardpalmbeach.com,-0.0907,Center
dailynews.com,0.0592,Center
heraldandnews.com,0.0693,Center
islandpacket.com,0.1309,Right
delcotimes.com,0.169,Right
savannahnow.com,0.2235,Right
idahopress.com,0.4522,Right
dailyadvance.com,,
apg-wi.com,,
livingstonparishnews.com,,
cleburnetimesreview.com,,
foxbaltimore.com,0.0673,Center
klkntv.com,0.3823,Right
wishtv.com,0.149,Right
chicagoreader.com,-0.7109,Left
dailynorthwestern.com,-0.6088,Left
heraldnet.com,0.0329,Center
thelcn.com,0.1811,Right
elkodaily.com,0.3863,Right
griffindailynews.com,,
marshallnews.com,,
wcjb.com,0.2729,Right
wrcbtv.com,0.1477,Right
villagevoice.com,-0.7541,Left
rightwingwatch.org,-0.6068,Left
austinchronicle.com,-0.5237,Left
southcoasttoday.com,-0.3375,Left
itemlive.com,-0.2732,Left
bakersfield.com,-0.0985,Center
telegram.com,-0.0927,Center
poughkeepsiejournal.com,-0.0314,Center
pjstar.com,0.045,Center
lasvegassun.com,0.0727,Center
sunherald.com,0.0819,Center
cantonrep.com,0.3176,Right
armytimes.com,0.4144,Right
muskogeephoenix.com,0.5249,Right
sedaliademocrat.com,,
tylerpaper.com,,
kezi.com,-0.1043,Center
nbc29.com,0.1215,Right
newschannel9.com,0.1998,Right
turnto10.com,-0.093,Center
registerguard.com,-0.1947,Center
onlineathens.com,0.1399,Right
thetowntalk.com,0.3607,Right
goldenstatenewspapers.com,,
waltontribune.com,,
swnewsherald.com,,
peninsuladailynews.com,,
theintermountain.com,,
fdlreporter.com,,
fox23.com,0.4381,Right
wjhg.com,0.6565,Right
harpers.org,-0.756,Left
blackamericaweb.com,-0.7532,Left
arktimes.com,-0.6297,Left
thecrimson.com,-0.4793,Left
loudountimes.com,-0.304,Left
presstelegram.com,-0.2562,Left
capecodtimes.com,-0.1952,Center
santacruzsentinel.com,-0.1454,Center
nyse.com,-0.1163,Center
sctimes.com,-0.0448,Center
duluthnewstribune.com,-0.0077,Center
oanow.com,0.2322,Right
heraldtribune.com,0.2612,Right
bradenton.com,0.3184,Right
conservativetribune.com,0.8741,Right
morgancountycitizen.com,,
timesuniononline.com,,
indeonline.com,,
myplainview.com,,
gmnews.com,,
kcentv.com,0.3416,Right
kvia.com,-0.1729,Center
adirondackdailyenterprise.com,-0.1454,Center
nationaljournal.com,-0.0941,Center
boiseweekly.com,-0.0072,Center
newarkadvocate.com,0.1525,Right
lancasteronline.com,0.2046,Right
firsttoknow.com,0.3017,Right
hotsr.com,,
harlandaily.com,,
timesgazette.com,,
expressnews.com,0.1387,Right
nbc11news.com,0.2974,Right
wdtn.com,0.1168,Right
rferl.org,-0.4119,Left
metrowestdailynews.com,-0.1544,Center
lcsun-news.com,-0.0891,Center
trentonian.com,-0.0263,Center
theoaklandpress.com,0.045,Center
capitalgazette.com,0.1496,Right
