"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","domain_center_w1","domain_right_w1","domain_left_w1","domain_center_w2","domain_left_w2","domain_right_w2","domain_center_mean_w1","domain_right_mean_w1","domain_left_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2"
5745,151452,63584,91,82,896,29982,10995,24,24,368,40,79,37,9,4,0,0.48780487804878,0.963414634146341,0.451219512195122,0.375,0.166666666666667,0
5746,20228,9426,91,84,324,15574,8423,86,44,235,45,0,7,17,1,0,0.535714285714286,0,0.0833333333333333,0.386363636363636,0.0227272727272727,0
5749,23966,13807,91,83,514,3464,2054,22,17,156,31,0,7,4,0,0,0.373493975903614,0,0.0843373493975904,0.235294117647059,0,0
5751,17421,9727,90,89,88,58326,29806,174,92,205,0,0,1,2,0,0,0,0,0.0112359550561798,0.0217391304347826,0,0
5754,15191,7705,91,78,361,7641,4204,73,45,276,43,0,5,32,3,0,0.551282051282051,0,0.0641025641025641,0.711111111111111,0.0666666666666667,0
5755,29992,20151,79,66,655,14183,9570,91,37,421,992,5,291,458,161,3,15.030303030303,0.0757575757575758,4.40909090909091,12.3783783783784,4.35135135135135,0.0810810810810811
5760,2514,929,92,91,120,2915,1370,89,88,111,174,5,14,166,34,0,1.91208791208791,0.0549450549450549,0.153846153846154,1.88636363636364,0.386363636363636,0
5764,10062,6389,91,79,485,6607,3774,90,86,261,22,0,10,4,12,0,0.278481012658228,0,0.126582278481013,0.0465116279069767,0.13953488372093,0
5771,2785,2053,60,49,66,63590,18640,91,91,272,1,0,8,14,26,0,0.0204081632653061,0,0.163265306122449,0.153846153846154,0.285714285714286,0
5772,2479,1321,55,37,112,3578,2215,40,34,123,36,0,1,57,0,0,0.972972972972973,0,0.027027027027027,1.67647058823529,0,0
5773,8608,4721,82,19,218,14243,7547,91,44,247,28,0,2,78,4,0,1.47368421052632,0,0.105263157894737,1.77272727272727,0.0909090909090909,0
5775,103996,32612,92,72,967,362683,46144,89,89,1527,6,0,18,5,14,1,0.0833333333333333,0,0.25,0.0561797752808989,0.157303370786517,0.0112359550561798
5777,2345,1333,17,11,133,2633,1583,50,14,125,6,0,8,4,1,0,0.545454545454545,0,0.727272727272727,0.285714285714286,0.0714285714285714,0
5779,516,286,70,8,28,1672,893,91,14,64,0,0,0,0,0,0,0,0,0,0,0,0
5781,6463,3977,92,58,160,3980,2261,88,35,109,161,0,487,225,200,0,2.77586206896552,0,8.39655172413793,6.42857142857143,5.71428571428571,0
5790,13800,8421,91,72,276,17789,9735,90,81,220,434,0,165,473,96,0,6.02777777777778,0,2.29166666666667,5.83950617283951,1.18518518518519,0
5791,22290,19009,59,33,220,23765,20015,132,34,309,582,0,17,1623,11,0,17.6363636363636,0,0.515151515151515,47.7352941176471,0.323529411764706,0
5792,66753,25517,91,82,826,13475,6362,91,40,283,33,0,19,23,11,1,0.402439024390244,0,0.231707317073171,0.575,0.275,0.025
5795,4842,2623,20,12,173,15695,8773,92,33,425,8,3,22,63,36,1,0.666666666666667,0.25,1.83333333333333,1.90909090909091,1.09090909090909,0.0303030303030303
5796,6179,3937,55,38,142,9338,5536,89,53,171,82,1,5,130,0,1,2.15789473684211,0.0263157894736842,0.131578947368421,2.45283018867925,0,0.0188679245283019
5797,1125,407,79,51,52,29,21,59,3,10,166,0,0,4,0,0,3.25490196078431,0,0,1.33333333333333,0,0
