domain,Frequency count in our data,Higher > median (excl. zeros),National outlet to include in ideo scaling,Final include in ideo scaling,Twitter,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound,Ideology 3-level
strajk.eu,86,FALSE,TRUE,TRUE,@strajkeu,-1.681755,-1.743495,-1.6177375,left
kurierzawiercianski.pl,79,FALSE,,FALSE,,,,,
dts24.pl,78,FALSE,TRUE,TRUE,@dobrytygodnik,1.81786,1.7154705,1.9303885,right
propertynews.pl,66,FALSE,TRUE,TRUE,@propertynewspl,-0.4828765,-1.222993,0.1612929,left
przekroj.pl,62,FALSE,TRUE,TRUE,"@przekroj_pl
",-0.487576,-0.85994665,-0.117659,left
temi.pl,58,FALSE,TRUE,TRUE,@temi_pl,,,,
tygodnikprzeglad.pl,55,FALSE,TRUE,TRUE,@TygPrzeglad,-0.846214,-0.9575706,-0.73882625,left
jarocinska.pl,55,FALSE,,FALSE,,,,,
palukitv.pl,55,FALSE,,FALSE,@TygodnikPaluki,,,,
gazetapolska.pl,54,FALSE,TRUE,TRUE,@GPtygodnik,0.754251,0.67815315,0.83339165,right
zyciekalisza.pl,54,FALSE,,FALSE,,,,,
naszdziennik.pl,53,FALSE,TRUE,TRUE,@NaszDziennik,0.849048,0.7820863,0.9169669,right
wsieciprawdy.pl,38,FALSE,TRUE,TRUE,@Tygodnik_Sieci,0.3869845,0.3349308,0.43674825,right
kronikatygodnia.pl,38,FALSE,TRUE,TRUE,,,,,
gospodarkapodkarpacka.pl,35,FALSE,,FALSE,@gospodarkaPodk1,,,,
wspolnota.org.pl,33,FALSE,TRUE,TRUE,@PismoWspolnota,-0.399207,-0.5540214,-0.22546515,left
videosejm.pl,27,FALSE,TRUE,TRUE,@videoparlament,0.260015,0.1640247,0.3496846,right
obserwatorlokalny.pl,27,FALSE,,FALSE,,,,,
glos24.pl,24,FALSE,TRUE,TRUE,,,,,
lokalna24.pl,24,FALSE,,FALSE,,,,,
nowytydzien.pl,24,FALSE,TRUE,TRUE,@NowyTydzien,,,,
wsieci24.pl,23,FALSE,TRUE,TRUE,,,,,
opzz.org.pl,23,FALSE,TRUE,TRUE,@OPZZcentrala,-0.81186,-0.90969765,-0.7147866,left
wnet.fm,22,FALSE,TRUE,TRUE,@RadioWNET,0.766412,0.69988765,0.83210335,right
e-stargard.pl,21,FALSE,,FALSE,@eStargard_pl,,,,
korso.pl,21,FALSE,,FALSE,@KorsoTygodnik,,,,
kurierostrowski.pl,21,FALSE,,FALSE,@OstrowskiKurier,,,,
centrummedialne.pl,20,FALSE,TRUE,TRUE,@medialne,1.047335,0.97768165,1.1179895,right
warszawskagazeta.pl,19,FALSE,,FALSE,@WarszawskaG,,,,
przegladpiaseczynski.pl,18,FALSE,,FALSE,@PrzegladPiasecz,,,,
slowopodlasia.pl,16,FALSE,,FALSE,@slowopodlasia,,,,
tomaszow-tit.pl,16,FALSE,,FALSE,,,,,
tygodnikpodhalanski.pl,16,FALSE,,FALSE,@24tp_pl,,,,
infowire.pl,14,FALSE,TRUE,TRUE,@infoWirepl,-1.15843,-1.227667,-1.092421,left
swinoujskie.info,13,FALSE,,FALSE,@swinoujskieinfo,,,,
portalprzemyski.pl,12,FALSE,,FALSE,@PortalPrzemyski,,,,
lowiczanin.info,12,FALSE,,FALSE,,,,,
zyciebytomskie.pl,12,FALSE,,FALSE,,,,,
nj24.pl,11,FALSE,,FALSE,@NowinyJ,,,,
tygodnikits.pl,10,FALSE,,FALSE,@TygodnikITS,,,,
tvtoya.pl,9,FALSE,TRUE,TRUE,,,,,
tygodniksanocki.pl,9,FALSE,,FALSE,@TygodnikSanocki,,,,
konecki24.pl,8,FALSE,,FALSE,,,,,
mpolska24.pl,7,FALSE,TRUE,TRUE,@mPolska24,0.5000135,0.3890169,0.61603645,right
trybuna.info,7,FALSE,TRUE,TRUE,@Trybuna_DT,,,,
przegladlokalny.eu,7,FALSE,,FALSE,,,,,
radioglos.pl,6,FALSE,TRUE,TRUE,@RadioGlos,0.8267005,0.6834792,0.9756472,right
lewica.pl,6,FALSE,TRUE,TRUE,,,,,
chojna24.pl,6,FALSE,,FALSE,@chojna24pl,,,,
